trial,mean
187,3.540107
188,3.537234
189,3.529101
190,3.521053
191,3.528796
192,3.531250
193,3.533679
194,3.530928
195,3.543590
196,3.530612
197,3.527919
198,3.515152
199,3.512563
200,3.525000
201,3.522388
202,3.534653
203,3.532020
204,3.539216
205,3.536585
206,3.529126
207,3.536232
208,3.548077
209,3.540670
210,3.547619
211,3.540284
212,3.547170
213,3.553991
214,3.551402
215,3.558140
216,3.550926
217,3.539171
218,3.527523
219,3.525114
220,3.536364
221,3.524887
222,3.522523
223,3.529148
224,3.522321
225,3.528889
226,3.522124
227,3.528634
228,3.530702
229,3.532751
230,3.526087
231,3.523810
232,3.534483
233,3.523605
234,3.529915
235,3.527660
236,3.533898
237,3.535865
238,3.533613
239,3.527197
240,3.529167
241,3.518672
242,3.520661
243,3.510288
244,3.512295
245,3.514286
246,3.504065
247,3.510121
248,3.508065
249,3.514056
250,3.504000
251,3.498008
252,3.496032
253,3.490119
254,3.484252
255,3.486275
256,3.476562
257,3.482490
258,3.472868
259,3.467181
260,3.469231
261,3.475096
262,3.469466
263,3.463878
264,3.473485
265,3.483019
266,3.484962
267,3.483146
268,3.481343
269,3.483271
270,3.485185
271,3.479705
272,3.470588
273,3.461538
274,3.470803
275,3.469091
276,3.467391
277,3.465704
278,3.471223
279,3.462366
280,3.453571
281,3.448399
282,3.446809
283,3.452297
284,3.450704
285,3.449123
286,3.458042
287,3.449477
288,3.451389
289,3.453287
290,3.451724
291,3.457045
292,3.452055
293,3.460751
294,3.455782
295,3.457627
296,3.459459
297,3.468013
298,3.466443
299,3.461538
300,3.453333
301,3.451827
302,3.456954
303,3.448845
304,3.457237
305,3.459016
306,3.450980
307,3.446254
308,3.448052
309,3.443366
310,3.435484
311,3.437299
312,3.442308
313,3.434505
314,3.429936
315,3.425397
316,3.427215
317,3.432177
318,3.437107
319,3.445141
320,3.450000
321,3.445483
322,3.437888
323,3.439628
324,3.447531
325,3.455385
326,3.450920
327,3.446483
328,3.439024
329,3.431611
330,3.433333
331,3.435045
332,3.433735
333,3.429429
334,3.434132
335,3.432836
336,3.437500
337,3.445104
338,3.440828
339,3.436578
340,3.444118
341,3.445748
342,3.441520
343,3.443149
344,3.444767
345,3.452174
346,3.447977
347,3.455331
348,3.462644
349,3.458453
350,3.451429
351,3.452991
352,3.446023
353,3.441926
354,3.440678
355,3.447887
356,3.455056
357,3.448179
358,3.455307
359,3.448468
360,3.452778
361,3.459834
362,3.466851
363,3.462810
364,3.469780
365,3.463014
366,3.464481
367,3.463215
368,3.459239
369,3.452575
370,3.456757
371,3.455526
372,3.456989
373,3.455764
374,3.454545
375,3.461333
376,3.454787
377,3.458886
378,3.462963
379,3.461741
380,3.457895
381,3.451444
382,3.458115
383,3.464752
384,3.460938
385,3.454545
386,3.448187
387,3.441860
388,3.445876
389,3.452442
390,3.446154
391,3.450128
392,3.446429
393,3.445293
394,3.446701
395,3.450633
396,3.457071
397,3.450882
398,3.447236
399,3.443609
400,3.440000
401,3.446384
402,3.450249
403,3.446650
404,3.452970
405,3.451852
406,3.453202
407,3.452088
408,3.446078
409,3.452323
410,3.446341
411,3.442822
412,3.439320
413,3.435835
414,3.429952
415,3.424096
416,3.427885
417,3.434053
418,3.428230
419,3.424821
420,3.426190
421,3.432304
422,3.436019
423,3.439716
424,3.441038
425,3.440000
426,3.436620
427,3.442623
428,3.446262
429,3.440559
430,3.444186
431,3.438515
432,3.442130
433,3.445727
434,3.440092
435,3.439080
436,3.433486
437,3.434783
438,3.440639
439,3.435080
440,3.434091
441,3.439909
442,3.436652
443,3.431151
444,3.430180
445,3.431461
446,3.432735
447,3.429530
448,3.435268
449,3.436526
450,3.433333
451,3.439024
452,3.444690
453,3.443709
454,3.438326
455,3.439560
456,3.440789
457,3.435449
458,3.436681
459,3.442266
460,3.436957
461,3.440347
462,3.435065
463,3.438445
464,3.437500
465,3.432258
466,3.437768
467,3.432548
468,3.433761
469,3.430704
470,3.436170
471,3.439490
472,3.442797
473,3.441860
474,3.440928
475,3.442105
476,3.445378
477,3.450734
478,3.445607
479,3.446764
480,3.441667
481,3.438669
482,3.441909
483,3.438923
484,3.442149
485,3.441237
486,3.438272
487,3.437372
488,3.438525
489,3.441718
490,3.442857
491,3.448065
492,3.453252
493,3.456389
494,3.457490
495,3.454545
496,3.453629
497,3.448692
498,3.447791
499,3.452906
500,3.452000
501,3.447106
502,3.448207
503,3.453280
504,3.458333
505,3.455446
506,3.454545
507,3.455621
508,3.452756
509,3.449902
510,3.447059
511,3.452055
512,3.455078
513,3.460039
514,3.463035
515,3.467961
516,3.463178
517,3.468085
518,3.463320
519,3.462428
520,3.463462
521,3.462572
522,3.457854
523,3.455067
524,3.458015
525,3.455238
526,3.452471
527,3.457306
528,3.452652
529,3.457467
530,3.462264
531,3.463277
532,3.458647
533,3.454034
534,3.451311
535,3.452336
536,3.447761
537,3.446927
538,3.442379
539,3.443414
540,3.438889
541,3.441774
542,3.437269
543,3.434622
544,3.431985
545,3.434862
546,3.430403
547,3.429616
548,3.430657
549,3.431694
550,3.434545
551,3.437387
552,3.436594
553,3.439421
554,3.436823
555,3.441441
556,3.442446
557,3.445242
558,3.449821
559,3.452594
560,3.457143
561,3.458111
562,3.453737
563,3.452931
564,3.450355
565,3.454867
566,3.452297
567,3.449735
568,3.447183
569,3.448155
570,3.449123
571,3.453590
572,3.452797
573,3.450262
574,3.445993
575,3.441739
576,3.440972
577,3.445407
578,3.446367
579,3.450777
580,3.446552
581,3.442341
582,3.446735
583,3.442539
584,3.438356
585,3.437607
586,3.441980
587,3.444634
588,3.440476
589,3.444822
590,3.449153
591,3.451777
592,3.456081
593,3.453626
594,3.457912
595,3.455462
596,3.458054
597,3.458961
598,3.461538
599,3.462437
600,3.463333
601,3.464226
602,3.466777
603,3.469320
604,3.465232
605,3.467769
606,3.468647
607,3.466227
608,3.467105
609,3.471264
610,3.475410
611,3.479542
612,3.478758
613,3.481240
614,3.480456
615,3.482927
616,3.483766
617,3.481361
618,3.478964
619,3.474960
620,3.470968
621,3.470209
622,3.469453
623,3.465490
624,3.464744
625,3.465600
626,3.463259
627,3.462520
628,3.461783
629,3.462639
630,3.461905
631,3.464342
632,3.462025
633,3.461295
634,3.460568
635,3.458268
636,3.460692
637,3.458399
638,3.456113
639,3.458529
640,3.462500
641,3.464899
642,3.468847
643,3.472784
644,3.472050
645,3.474419
646,3.472136
647,3.471406
648,3.472222
649,3.476117
650,3.480000
651,3.479263
652,3.480061
653,3.477795
654,3.480122
655,3.480916
656,3.481707
657,3.484018
658,3.484802
659,3.481032
660,3.478788
661,3.476551
662,3.478852
663,3.475113
664,3.472892
665,3.473684
666,3.475976
667,3.476762
668,3.480539
669,3.484305
670,3.480597
671,3.484352
672,3.485119
673,3.485884
674,3.482196
675,3.482963
676,3.485207
677,3.485968
678,3.482301
679,3.483063
680,3.486765
681,3.488987
682,3.485337
683,3.489019
684,3.492690
685,3.490511
686,3.492711
687,3.491994
688,3.492733
689,3.492017
690,3.494203
691,3.497829
692,3.500000
693,3.503608
694,3.507205
695,3.503597
696,3.501437
697,3.503587
698,3.504298
699,3.500715
700,3.497143
701,3.497860
702,3.498575
703,3.496444
704,3.494318
705,3.490780
706,3.491501
707,3.487977
708,3.488701
709,3.488011
710,3.487324
711,3.489451
712,3.490169
713,3.492286
714,3.494398
715,3.497902
716,3.500000
717,3.500697
718,3.500000
719,3.497914
720,3.498611
721,3.495146
722,3.498615
723,3.502075
724,3.498619
725,3.500690
726,3.497245
727,3.499312
728,3.495879
729,3.495199
730,3.495890
731,3.497948
732,3.497268
733,3.500682
734,3.502725
735,3.500680
736,3.502717
737,3.504749
738,3.504065
739,3.506089
740,3.509459
741,3.511471
742,3.513477
743,3.514132
744,3.512097
745,3.514094
746,3.513405
747,3.514056
748,3.512032
749,3.510013
750,3.506667
751,3.509987
752,3.506649
753,3.503320
754,3.506631
755,3.507285
756,3.506614
757,3.508587
758,3.507916
759,3.504611
760,3.506579
761,3.504599
762,3.505249
763,3.508519
764,3.511780
765,3.511111
766,3.513055
767,3.513690
768,3.513021
769,3.509753
770,3.509091
771,3.509728
772,3.512953
773,3.509702
774,3.511628
775,3.514839
776,3.518041
777,3.517375
778,3.514139
779,3.512195
780,3.515385
781,3.518566
782,3.519182
783,3.515964
784,3.512755
785,3.512102
786,3.512723
787,3.509530
788,3.511421
789,3.512041
790,3.508861
791,3.505689
792,3.505051
793,3.506936
794,3.508816
795,3.508176
796,3.506281
797,3.509410
798,3.508772
799,3.506884
800,3.506250
801,3.503121
802,3.501247
803,3.501868
804,3.504975
805,3.506832
806,3.508685
807,3.509294
808,3.506188
809,3.505562
810,3.508642
811,3.505549
812,3.508621
813,3.510455
814,3.508600
815,3.510429
816,3.513480
817,3.510404
818,3.507335
819,3.507937
820,3.510976
821,3.507917
822,3.508516
823,3.505468
824,3.506068
825,3.506667
826,3.503632
827,3.505441
828,3.508454
829,3.511460
830,3.508434
831,3.506619
832,3.504808
833,3.504202
834,3.501199
835,3.504192
836,3.505981
837,3.507766
838,3.505967
839,3.502980
840,3.505952
841,3.504162
842,3.504751
843,3.507711
844,3.504739
845,3.501775
846,3.498818
847,3.495868
848,3.492925
849,3.494700
850,3.495294
851,3.498237
852,3.500000
853,3.502931
854,3.501171
855,3.499415
856,3.502336
857,3.500583
858,3.497669
859,3.499418
860,3.501163
861,3.504065
862,3.506961
863,3.504056
864,3.505787
865,3.508671
866,3.510393
867,3.512111
868,3.514977
869,3.514384
870,3.511494
871,3.510907
872,3.509174
873,3.506300
874,3.503432
875,3.505143
876,3.505708
877,3.506271
878,3.507973
879,3.508532
880,3.509091
881,3.506243
882,3.509070
883,3.508494
884,3.505656
885,3.507345
886,3.509029
887,3.506201
888,3.504505
889,3.501687
890,3.500000
891,3.497194
892,3.498879
893,3.499440
894,3.502237
895,3.503911
896,3.504464
897,3.505017
898,3.502227
899,3.499444
900,3.500000
901,3.497225
902,3.494457
903,3.492802
904,3.495575
905,3.495028
906,3.496689
907,3.496141
908,3.494493
909,3.493949
910,3.491209
911,3.492865
912,3.491228
913,3.490690
914,3.493435
915,3.493989
916,3.493450
917,3.494002
918,3.495643
919,3.494015
920,3.494565
921,3.497286
922,3.497831
923,3.497291
924,3.494589
925,3.492973
926,3.495680
927,3.496224
928,3.494612
929,3.494080
930,3.494624
931,3.495166
932,3.496781
933,3.495177
934,3.495717
935,3.495187
936,3.497863
937,3.495197
938,3.492537
939,3.492013
940,3.492553
941,3.494155
942,3.493631
943,3.496288
944,3.495763
945,3.493122
946,3.490486
947,3.493136
948,3.490506
949,3.493151
950,3.491579
951,3.488959
952,3.487395
953,3.487933
954,3.487421
955,3.489005
956,3.489540
957,3.489028
958,3.489562
959,3.492179
960,3.491667
961,3.489074
962,3.488565
963,3.491173
964,3.489627
965,3.492228
966,3.492754
967,3.493278
968,3.491736
969,3.494324
970,3.491753
971,3.490216
972,3.489712
973,3.489209
974,3.488706
975,3.486154
976,3.484631
977,3.482088
978,3.482618
979,3.482125
980,3.482653
981,3.483180
982,3.484725
983,3.485249
984,3.485772
985,3.486294
986,3.486815
987,3.487335
988,3.485830
989,3.484328
990,3.485859
991,3.485368
992,3.485887
993,3.484391
994,3.483903
995,3.484422
996,3.484940
997,3.485456
998,3.484970
999,3.487487
1000,3.488000
